sample;richness;neutral;phylo;func;func2;mapped;total
EHI00404;210;104.329;8.273;1.375;1.531;1.697;2.24
EHI00389;168;80.154;4.817;1.323;1.436;2.995;3.718
EHI01557;223;86.053;4.109;1.293;1.406;3.836;5.014
EHI01559;54;12.588;3.483;1.554;1.677;1.879;3.566
EHI01459;137;57.196;5.375;1.323;1.436;1.269;1.61
EHI00144;262;114.243;6.699;1.329;1.455;2.633;4.448
EHI00413;72;34.808;3.643;1.304;1.394;0.798;2.112
EHI01554;103;35.988;4.265;1.28;1.392;2.13;3.633
EHI01513;305;104.461;6.085;1.342;1.448;3.829;5.071
EHI00405;164;73.238;5.216;1.325;1.444;3.158;4.22
EHI01556;346;120.595;6.352;1.353;1.462;6.209;8.062
EHI00408;259;111.845;7.807;1.355;1.489;2.599;3.412
EHI01470;136;31.556;3.815;1.298;1.362;6.025;7.55
EHI01486;61;19.515;4.818;1.294;1.364;3.007;4.253
EHI01468;182;97.935;6.611;1.369;1.486;1.39;1.914
EHI01524;23;4.025;2.175;1.148;1.195;3.083;5.984
EHI00380;222;101.055;5.845;1.341;1.443;2.216;3.491
EHI00142;146;27.657;2.769;1.214;1.33;3.194;4.656
EHI00410;160;51.724;4.722;1.298;1.396;2.726;3.872
EHI01498;17;5.77;1.204;1.128;1.159;4.513;5.287
EHI00418;140;61.17;4.989;1.332;1.43;2.399;3.005
EHI01480;386;93.409;5.76;1.352;1.484;20.56;26.785
EHI00393;156;52.979;5.04;1.287;1.401;1.934;2.822
EHI01552;124;50.907;4.47;1.331;1.421;3.323;5.096
EHI01453;230;72.598;6.723;1.325;1.455;3.425;4.33
EHI01471;271;100.384;5.038;1.337;1.456;3.842;4.922
EHI01523;318;136.421;7.34;1.365;1.48;4.166;6.038
EHI01464;396;114.226;6.787;1.348;1.469;7.97;10.322
EHI01454;112;42.716;4.414;1.309;1.409;2.896;4.022
EHI00394;136;49.668;4.083;1.289;1.397;2.965;3.691
EHI01455;317;129.249;5.886;1.323;1.451;3.703;4.978
EHI00387;253;125.535;5.984;1.341;1.445;2.932;3.889
EHI00374;65;11.556;1.625;1.157;1.238;3.342;4.599
EHI01500;67;18.48;4.555;1.312;1.398;1.52;3.811
EHI01506;65;42.881;4.588;1.344;1.455;4.252;7.355
EHI01467;488;144.363;7.382;1.357;1.5;18.968;24.578
EHI01499;261;105.944;5.656;1.334;1.44;2.837;4.248
EHI01458;200;63.44;6.196;1.348;1.483;9.956;17.337
EHI01487;126;46.404;3.767;1.297;1.373;3.597;4.385
EHI00402;240;124.421;6.609;1.345;1.469;2.065;2.774
EHI01478;21;6.456;1.318;1.123;1.172;7.483;14.634
EHI01517;176;36.42;4.749;1.292;1.389;4.873;7.109
EHI01525;18;2.714;2.223;1.13;1.104;3.749;4.949
EHI00414;225;108.035;6.522;1.328;1.45;2.091;2.692
EHI00367;11;2.537;1.44;1.077;1.093;1.417;4.154
EHI01501;29;8.783;2.375;1.301;1.403;5.191;8.732
EHI00377;211;98.287;6;1.33;1.446;2.86;4.123
EHI00382;479;170.393;6.729;1.353;1.469;7.737;13.114
EHI00361;26;4.78;1.394;1.11;1.125;11.077;28.371
EHI00385;285;121.357;5.723;1.332;1.443;3.262;4.504
EHI01493;42;24.539;4.846;1.343;1.44;2.082;6.859
EHI01462;162;52.491;5.363;1.329;1.442;5.208;6.296
EHI00399;186;55.438;5.19;1.304;1.409;2.806;4.559
EHI00420;4;1.427;1.135;1.043;1.052;2.066;3.078
EHI01474;120;38.203;4.242;1.314;1.441;2.875;3.878
EHI01484;67;27.847;3.711;1.266;1.363;0.917;1.8
EHI00375;155;93.208;4.716;1.306;1.421;1.238;2.053
EHI01530;110;51.247;6.181;1.408;1.513;2.017;5.974
EHI01549;252;89.779;5.37;1.325;1.441;4.748;6.341
EHI01475;273;95.54;5.821;1.351;1.466;4.648;5.881
EHI01497;277;89.111;7.432;1.321;1.45;4.227;5.436
EHI01456;154;50.205;3.949;1.307;1.416;1.744;2.275
EHI01472;89;46.983;4.755;1.313;1.458;1.079;5.074
EHI01505;273;124.295;6.159;1.355;1.457;3.222;4.227
EHI01551;211;90.475;4.696;1.318;1.438;3.104;4.008
EHI01518;12;4.823;1.346;1.141;1.167;1.438;5.705
EHI00368;10;4.085;1.976;1.156;1.163;1.442;4.176
EHI01553;100;25.884;4.842;1.294;1.388;3.662;4.56
EHI01516;82;12.007;3.145;1.201;1.262;2.001;3.996
EHI01504;52;19.938;2.818;1.213;1.285;1.502;3.98
EHI00411;165;63.678;5.219;1.324;1.434;2.747;3.499
EHI00363;15;3.721;1.827;1.137;1.169;2.489;5.18
EHI01483;48;14.489;4.063;1.362;1.399;1.623;5.926
EHI01457;137;40.588;3.88;1.321;1.415;2.889;4.874
EHI01469;302;104.056;5.793;1.342;1.463;3.789;4.907
EHI01521;100;51.088;5.274;1.33;1.437;1.287;3.288
EHI00371;32;5.884;1.957;1.161;1.175;3.166;3.8
EHI01485;60;35.46;4.913;1.278;1.402;0.691;2.608
EHI01529;234;85.92;5.744;1.303;1.419;3.122;4.551
EHI01550;141;76.13;5.959;1.356;1.483;1.686;6.448
EHI00383;148;55.6;4.674;1.304;1.412;3.539;13.63
EHI01494;419;178.012;7.945;1.336;1.469;5.233;8.002
