kingdom	phylum	class	order	family	genus	species	EHI01508	EHI00383	EHI02035	EHI01454	EHI01495	EHI02301	EHI01496	EHI02001	EHI01559	EHI01474	EHI00361	EHI01478	EHI00380	EHI02022	EHI00374	EHI01507	EHI00375	EHI01999	EHI00368	EHI01487	EHI01476	EHI01556	EHI01455	EHI01471	EHI02021	EHI01525	EHI02004	EHI00418	EHI01512	EHI02235	EHI02028	EHI00391	EHI01770	EHI02256	EHI02291	EHI02240	EHI02015	EHI02031	EHI01460	EHI00400	EHI00365	EHI01517	EHI01522	EHI00414	EHI00410	EHI00142	EHI01516	EHI01552	EHI01501	EHI00417	EHI01483	EHI02304	EHI02011	EHI00404	EHI02032	EHI01492	EHI02263	EHI01505	EHI00420	EHI01470	EHI02029	EHI00144	EHI00382	EHI02009	EHI01502	EHI01528	EHI01494	EHI01558	EHI01518	EHI00371	EHI01997	EHI00276	EHI02242	EHI01523	EHI02038	EHI02023	EHI00399	EHI01550	EHI00169	EHI01771	EHI01462	EHI02302	EHI01484	EHI01461	EHI00376	EHI02292	EHI01831	EHI01458	EHI01551	EHI01554	EHI02024	EHI01493	EHI02000	EHI01499	EHI02037	EHI02241	EHI02014	EHI01467	EHI01527	EHI02017	EHI02007	EHI01549	EHI01500	EHI01515	EHI02033	EHI00408	EHI01998	EHI01463	EHI02016	EHI01480	EHI02274	EHI00363	EHI00367	EHI01513	EHI01486	EHI01511	EHI02003	EHI00405	EHI02080	EHI01472	EHI02078	EHI01498	EHI01553	EHI01497	EHI02027	EHI02020	EHI01468	EHI02026	EHI00402	EHI01475	EHI00416	EHI02002	EHI02096	EHI02300	EHI01521	EHI02030	EHI02018	EHI02306	EHI01996	EHI02305	EHI01473	EHI00381	EHI01485	EHI01519	EHI02008	EHI02034	EHI01510	EHI02039	EHI02273	EHI01514	EHI01506	EHI00413	EHI01728	EHI01557	EHI01520	EHI02019	EHI01491	EHI00385	EHI00389	EHI02068	EHI00398	EHI01464	EHI00377	EHI02013	EHI00387	EHI01465	EHI02005	EHI00406	EHI02297	EHI00394	EHI00161	EHI02006	EHI01459	EHI01457	EHI00393	EHI01526	EHI00392	EHI01482	EHI01456	EHI02012	EHI00411	EHI01469	EHI02303	EHI01503	EHI01529	EHI01453
k__Alveolata							1	11	1	6	8	2	86	5	7	1	2	4	4	11	4	8	2	1	16	1	9	3	1	2	2	22	4	3	2	2	1	1	7	2	6	16	1	3	5	4	1	1	32	2	2	6	11	6	1	2	1	52	4	1	1	21	6	2	6	6	2	1	22	7	2	31	1	46	2	3	4	1	9	4	5	10	1	7	3	5	3	40	2	2	2	8	2	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Alveolata	p__Apicomplexa						1	11	1	6	8	2	86	5	7	1	0	4	4	11	4	8	2	0	16	1	9	3	1	2	2	22	4	3	2	2	1	1	7	2	6	16	1	3	5	4	1	0	32	2	2	6	11	6	1	2	1	52	4	1	1	21	6	2	0	6	2	1	22	7	2	31	1	46	2	3	4	1	9	4	5	10	1	7	3	4	3	40	2	2	2	8	2	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Alveolata	p__Apicomplexa	c__Coccidia					1	11	1	6	8	2	86	5	7	1	0	4	4	11	4	8	2	0	16	1	9	3	1	2	2	22	4	3	2	2	1	1	7	2	6	16	1	3	5	4	1	0	32	2	2	6	11	6	1	2	1	52	4	1	1	21	6	2	0	6	2	1	22	7	2	31	1	46	2	3	4	1	9	4	5	10	1	7	3	4	3	40	2	2	2	8	2	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Alveolata	p__Apicomplexa	c__Coccidia	o__Eucoccidiorida				1	11	1	6	8	2	86	5	7	1	0	4	4	11	4	8	2	0	16	1	9	3	1	2	2	22	4	3	2	2	1	1	7	2	6	16	1	3	5	4	1	0	32	2	2	6	11	6	1	2	1	52	4	1	1	21	6	2	0	6	2	1	22	7	2	31	1	46	2	3	4	1	9	4	5	10	1	7	3	4	3	40	2	2	2	8	2	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Alveolata	p__Apicomplexa	c__Coccidia	o__Eucoccidiorida	f__Cryptosporidiidae			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Alveolata	p__Apicomplexa	c__Coccidia	o__Eucoccidiorida	f__Cryptosporidiidae	g__Cryptosporidium		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Alveolata	p__Apicomplexa	c__Coccidia	o__Eucoccidiorida	f__Cryptosporidiidae	g__Cryptosporidium	s__Cryptosporidium_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Alveolata	p__Apicomplexa	c__Coccidia	o__Eucoccidiorida	f__Eimeriidae			1	11	1	6	8	2	86	5	7	1	0	4	4	11	4	8	2	0	16	1	9	3	1	2	2	22	4	3	2	2	1	1	7	2	6	16	1	3	5	4	1	0	32	2	2	6	11	6	1	2	1	52	4	1	1	21	6	2	0	6	2	1	22	7	2	31	1	46	2	3	4	1	9	4	5	9	1	7	3	4	3	40	2	2	2	8	2	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Alveolata	p__Apicomplexa	c__Coccidia	o__Eucoccidiorida	f__Eimeriidae	g__Eimeria		1	11	1	6	8	2	84	5	7	1	0	4	4	11	4	8	2	0	16	1	9	3	1	2	1	22	4	2	2	2	1	1	7	2	6	16	1	3	5	4	1	0	32	2	2	4	11	6	1	2	1	50	4	1	1	21	6	2	0	6	2	1	22	7	2	31	1	46	2	3	4	1	9	4	5	9	1	7	3	4	3	40	2	2	2	8	1	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Alveolata	p__Apicomplexa	c__Coccidia	o__Eucoccidiorida	f__Eimeriidae	g__Eimeria	s__Eimeria_sp	1	11	1	6	8	2	84	5	7	1	0	4	4	11	4	8	2	0	16	1	9	3	1	2	1	22	4	2	2	2	1	1	7	2	6	16	1	3	5	4	1	0	32	2	2	4	11	6	1	2	1	50	4	1	1	21	6	2	0	6	2	1	22	7	2	31	1	46	2	3	4	1	9	4	5	9	1	7	3	4	3	40	2	2	2	8	1	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
