sample;EHI02000;EHI00416;EHI02025;EHI00142;EHI00392;EHI02068;EHI01508;EHI01482;EHI01523;EHI00408;EHI01467;EHI01527;EHI01507;EHI01499;EHI01473;EHI01463;EHI02001;EHI01526;EHI02008;EHI00276;EHI00414;EHI00402;EHI02036;EHI01494;EHI00385;EHI00375;EHI02032;EHI00382;EHI00144;EHI01550;EHI00161;EHI00376;EHI01464;EHI02002;EHI01529;EHI01549;EHI01480;EHI02019;EHI02003;EHI00380;EHI00393;EHI02029;EHI01458;EHI01461;EHI01996;EHI02039;EHI00374;EHI01472;EHI00410;EHI01770;EHI02037;EHI02028;EHI01496;EHI02020;EHI01771;EHI02235;EHI01478;EHI01728;EHI01517;EHI01518;EHI02011;EHI02274;EHI01501;EHI01522;EHI02263;EHI01831;EHI01485;EHI01559;EHI02297;EHI01521;EHI02291;EHI02007;EHI02009;EHI02292;EHI01493;EHI01530;EHI00383;EHI01528;EHI01504;EHI02012;EHI02015;EHI01483;EHI02255;EHI01997;EHI02300;EHI00368;EHI02304;EHI02301;EHI02306;EHI02242;EHI00361;EHI02035;EHI02017;EHI02038;EHI00389;EHI00411;EHI00405;EHI02303;EHI02241;EHI02305;EHI02302;EHI02023
EHI02000;0.00000;0.04615;0.03558;0.05698;0.04055;0.03488;0.04351;0.04482;0.04266;0.04247;0.04278;0.06153;0.04399;0.04052;0.05953;0.04085;0.03739;0.05022;0.05230;0.04903;0.05290;0.07390;0.04235;0.04356;0.04954;0.04275;0.03317;0.04675;0.03965;0.04802;0.06033;0.05009;0.05158;0.03163;0.04343;0.04576;0.04046;0.03141;0.03211;0.03955;0.04062;0.03517;0.08295;0.08101;0.06166;0.10529;0.09354;0.08046;0.07021;0.10512;0.08036;0.06930;0.07381;0.07488;0.09854;0.08443;0.08407;0.07586;0.07443;0.07909;0.07789;0.06952;0.07737;0.07875;0.08504;0.08579;0.07449;0.08273;0.09486;0.07504;0.07763;0.06592;0.06377;0.07105;0.08189;0.07839;0.08641;0.08124;0.07777;0.06863;0.07720;0.07460;0.06995;0.06414;0.07324;0.07759;0.07515;0.08354;0.08566;0.08294;0.08507;0.07468;0.06751;0.10185;0.11702;0.13391;0.07065;0.08984;0.07469;0.07829;0.07988;0.06168
EHI00416;0.04615;0.00000;0.05491;0.06198;0.05842;0.04846;0.06140;0.05508;0.05971;0.05279;0.05784;0.06462;0.06027;0.05594;0.06161;0.05471;0.04400;0.05964;0.05505;0.05569;0.05845;0.07479;0.05413;0.06203;0.05799;0.05443;0.05016;0.06851;0.05633;0.06424;0.06276;0.05650;0.05731;0.04322;0.06023;0.05785;0.05670;0.04698;0.04760;0.05518;0.05340;0.04865;0.10418;0.10235;0.07972;0.10894;0.09611;0.10128;0.08785;0.10544;0.08739;0.07663;0.08555;0.09793;0.10304;0.10670;0.10550;0.08706;0.09178;0.10314;0.09855;0.08804;0.09793;0.10146;0.08801;0.09816;0.09377;0.09078;0.09957;0.09550;0.09989;0.08658;0.07697;0.09158;0.10186;0.10062;0.10954;0.10382;0.09709;0.09096;0.08456;0.09276;0.09217;0.08190;0.09417;0.09338;0.09015;0.10688;0.09339;0.10578;0.10881;0.09615;0.08905;0.10701;0.11499;0.13443;0.08568;0.09556;0.09791;0.09838;0.10227;0.07618
EHI02025;0.03558;0.05491;0.00000;0.06862;0.02527;0.02929;0.02379;0.04898;0.02961;0.04754;0.03407;0.07638;0.02858;0.03173;0.07462;0.03759;0.04752;0.05739;0.07160;0.06027;0.06752;0.09735;0.04211;0.02496;0.05879;0.04453;0.02122;0.01811;0.02569;0.02954;0.07928;0.06105;0.06117;0.03137;0.03366;0.04405;0.03093;0.02243;0.02501;0.03149;0.03332;0.03284;0.05479;0.05455;0.05083;0.12595;0.11176;0.05483;0.06365;0.11930;0.09020;0.07484;0.07824;0.04946;0.11374;0.05278;0.05482;0.08453;0.06565;0.05543;0.05023;0.05147;0.05658;0.05583;0.10001;0.07998;0.05603;0.09255;0.11162;0.05609;0.05164;0.04851;0.06555;0.05161;0.05452;0.05627;0.05512;0.05617;0.05558;0.04832;0.08475;0.05915;0.04895;0.05426;0.05609;0.07422;0.07235;0.05438;0.09408;0.05388;0.05507;0.04949;0.05123;0.11646;0.13967;0.15509;0.06514;0.10708;0.04987;0.05362;0.05480;0.06111
EHI00142;0.05698;0.06198;0.06862;0.00000;0.07208;0.06375;0.07597;0.06761;0.07260;0.06448;0.07154;0.06926;0.07018;0.07089;0.06996;0.06888;0.05485;0.06885;0.05845;0.06425;0.06551;0.07894;0.06584;0.07560;0.06784;0.06582;0.06471;0.08322;0.07122;0.07488;0.06936;0.06427;0.06719;0.05309;0.07408;0.06890;0.06949;0.06003;0.06252;0.06763;0.06510;0.05839;0.12293;0.11923;0.09369;0.11212;0.10226;0.11934;0.10153;0.11029;0.09705;0.08913;0.09734;0.11354;0.10654;0.12160;0.12304;0.10012;0.10566;0.11814;0.11573;0.10552;0.11649;0.11681;0.09431;0.10280;0.11126;0.10017;0.10110;0.11041;0.11383;0.10132;0.09101;0.10660;0.12109;0.11764;0.12329;0.11729;0.11493;0.10642;0.08847;0.11019;0.10899;0.09836;0.10925;0.10715;0.10080;0.12142;0.09912;0.12231;0.12372;0.11300;0.10177;0.10995;0.11928;0.13489;0.10046;0.10399;0.11497;0.11196;0.11448;0.08959
EHI00392;0.04055;0.05842;0.02527;0.07208;0.00000;0.03526;0.03356;0.05203;0.03708;0.04992;0.03966;0.07841;0.03836;0.03897;0.07636;0.04283;0.05019;0.06044;0.07273;0.06227;0.06825;0.09522;0.04600;0.03423;0.06163;0.04889;0.02893;0.03078;0.03383;0.03905;0.07856;0.06238;0.06238;0.03647;0.04010;0.04948;0.03765;0.02953;0.03079;0.03777;0.03958;0.03793;0.06529;0.06603;0.05905;0.12728;0.11248;0.06452;0.06917;0.12347;0.09184;0.07766;0.08111;0.05992;0.11408;0.06480;0.06522;0.08634;0.07162;0.06550;0.06177;0.05993;0.06538;0.06551;0.10402;0.08636;0.06522;0.09546;0.11363;0.06509;0.06282;0.05804;0.06812;0.06060;0.06530;0.06579;0.06721;0.06761;0.06474;0.05810;0.08808;0.06652;0.05870;0.06095;0.06366;0.07855;0.07785;0.06707;0.09791;0.06444;0.06697;0.06106;0.05964;0.11848;0.13620;0.15484;0.07003;0.10607;0.06048;0.06466;0.06565;0.06526
EHI02068;0.03488;0.04846;0.02929;0.06375;0.03526;0.00000;0.03639;0.04484;0.03653;0.04211;0.03837;0.06727;0.03996;0.03584;0.06394;0.03801;0.03941;0.05283;0.06023;0.05302;0.05729;0.08255;0.04074;0.03660;0.05230;0.04348;0.02830;0.03896;0.03410;0.04284;0.06625;0.05362;0.05337;0.03159;0.03873;0.04526;0.03618;0.02712;0.02774;0.03595;0.03835;0.03501;0.07446;0.07341;0.05902;0.11604;0.10152;0.07296;0.06705;0.11254;0.08423;0.07121;0.07599;0.06837;0.10614;0.07603;0.07542;0.07941;0.07058;0.07465;0.07113;0.06334;0.07083;0.07350;0.09228;0.08675;0.06980;0.08779;0.10349;0.06921;0.07354;0.06137;0.06378;0.06533;0.07413;0.07362;0.07844;0.07779;0.07144;0.06329;0.08398;0.06973;0.06451;0.06081;0.06894;0.07700;0.07574;0.07797;0.09286;0.07462;0.07909;0.06892;0.06452;0.10801;0.12402;0.14524;0.06897;0.09679;0.06836;0.07388;0.07603;0.06094
EHI01508;0.04351;0.06140;0.02379;0.07597;0.03356;0.03639;0.00000;0.05431;0.03673;0.05144;0.03962;0.08254;0.03754;0.03842;0.07993;0.04302;0.05195;0.06324;0.07824;0.06600;0.07228;0.10138;0.04796;0.03238;0.06530;0.05135;0.02873;0.02756;0.03255;0.03928;0.08287;0.06709;0.06683;0.03852;0.03999;0.05057;0.03823;0.02959;0.03058;0.03827;0.04176;0.04109;0.06369;0.06395;0.05833;0.13182;0.11878;0.06339;0.07051;0.12888;0.09576;0.08121;0.08414;0.05734;0.11911;0.06279;0.06315;0.08945;0.07223;0.06478;0.05877;0.05880;0.06469;0.06498;0.10714;0.08958;0.06392;0.09804;0.11913;0.06377;0.06134;0.05612;0.07025;0.05889;0.06369;0.06399;0.06413;0.06604;0.06322;0.05620;0.09268;0.06681;0.05697;0.06138;0.06421;0.08108;0.07980;0.06347;0.10323;0.06179;0.06421;0.05928;0.05745;0.12375;0.14312;0.15876;0.07232;0.10913;0.05881;0.06254;0.06436;0.06703
EHI01482;0.04482;0.05508;0.04898;0.06761;0.05203;0.04484;0.05431;0.00000;0.05313;0.05198;0.05270;0.06906;0.05569;0.05068;0.06515;0.05022;0.04586;0.06024;0.06127;0.05788;0.06092;0.08156;0.05141;0.05441;0.05851;0.05360;0.04412;0.06045;0.05011;0.06069;0.06848;0.06016;0.05952;0.04221;0.05491;0.05597;0.05146;0.04182;0.04326;0.05098;0.05164;0.04607;0.09602;0.09354;0.07319;0.11506;0.10180;0.09376;0.08097;0.11270;0.08888;0.07927;0.08455;0.08836;0.10873;0.09951;0.09581;0.08617;0.08478;0.09406;0.09256;0.08126;0.08985;0.09367;0.09411;0.09833;0.08771;0.09234;0.10270;0.08942;0.09275;0.07875;0.07402;0.08524;0.09483;0.09393;0.10070;0.09802;0.08918;0.08218;0.08826;0.08567;0.08367;0.07605;0.08671;0.08978;0.08822;0.10030;0.09700;0.09649;0.10047;0.08961;0.08219;0.11010;0.12375;0.14049;0.08217;0.09999;0.09022;0.09164;0.09558;0.07218
EHI01523;0.04266;0.05971;0.02961;0.07260;0.03708;0.03653;0.03673;0.05313;0.00000;0.04999;0.04164;0.07874;0.04176;0.03948;0.07597;0.04256;0.05028;0.06109;0.07276;0.06260;0.06796;0.09751;0.04765;0.03624;0.06233;0.05170;0.03125;0.03576;0.03527;0.04419;0.07883;0.06484;0.06313;0.03857;0.04195;0.05085;0.03957;0.03112;0.03206;0.03994;0.04334;0.04100;0.07063;0.06927;0.06083;0.12796;0.11379;0.06946;0.07053;0.12425;0.09319;0.07914;0.08286;0.06447;0.11760;0.07141;0.07041;0.08516;0.07342;0.07177;0.06734;0.06364;0.06987;0.07032;0.10602;0.09212;0.06824;0.09643;0.11435;0.06949;0.06951;0.06112;0.06923;0.06425;0.07030;0.07067;0.07361;0.07443;0.06999;0.06097;0.09222;0.06970;0.06213;0.06411;0.06844;0.08154;0.08120;0.07360;0.10107;0.07048;0.07400;0.06649;0.06422;0.12100;0.13718;0.15465;0.07298;0.10691;0.06494;0.07022;0.07309;0.06682
EHI00408;0.04247;0.05279;0.04754;0.06448;0.04992;0.04211;0.05144;0.05198;0.04999;0.00000;0.04986;0.06715;0.05343;0.04784;0.06391;0.04804;0.04341;0.05783;0.05888;0.05603;0.05841;0.07979;0.04914;0.05217;0.05492;0.05082;0.04163;0.05739;0.04796;0.05774;0.06543;0.05756;0.05733;0.03856;0.05155;0.05295;0.04900;0.03915;0.04033;0.04793;0.04870;0.04352;0.09241;0.09007;0.07052;0.11247;0.09947;0.08950;0.07843;0.11079;0.08742;0.07521;0.08186;0.08482;0.10565;0.09541;0.09499;0.08399;0.08224;0.09090;0.08865;0.07857;0.08751;0.09107;0.09132;0.09423;0.08353;0.09071;0.10107;0.08525;0.09067;0.07613;0.07237;0.08098;0.09036;0.09012;0.09820;0.09364;0.08675;0.07824;0.08561;0.08293;0.07940;0.07405;0.08373;0.08716;0.08448;0.09663;0.09509;0.09494;0.09806;0.08509;0.07760;0.10809;0.11936;0.14275;0.07883;0.09623;0.08532;0.08817;0.09227;0.07015
EHI01467;0.04278;0.05784;0.03407;0.07154;0.03966;0.03837;0.03962;0.05270;0.04164;0.04986;0.00000;0.07568;0.04461;0.04132;0.07372;0.04460;0.04820;0.06083;0.06979;0.06163;0.06697;0.09327;0.04838;0.04063;0.06071;0.05176;0.03378;0.04152;0.03836;0.04748;0.07661;0.06290;0.06131;0.03857;0.04408;0.05208;0.04160;0.03258;0.03459;0.04185;0.04498;0.04151;0.07562;0.07538;0.06396;0.12343;0.10999;0.07454;0.07355;0.12188;0.09198;0.08003;0.08258;0.07080;0.11440;0.07757;0.07606;0.08720;0.07655;0.07550;0.07330;0.06727;0.07415;0.07557;0.10299;0.09225;0.07244;0.09575;0.11265;0.07319;0.07566;0.06442;0.07027;0.06853;0.07583;0.07544;0.07869;0.08011;0.07421;0.06671;0.08919;0.07308;0.06682;0.06604;0.07156;0.08277;0.08188;0.07823;0.09982;0.07616;0.07974;0.07213;0.06780;0.11852;0.13447;0.15134;0.07463;0.10526;0.06993;0.07520;0.07806;0.06734
