sample;est_mapp
EHI00142;-14.8
EHI00144;-14.93
EHI00161;-16.26
EHI00169;-15.49
EHI00276;-9.42
EHI00361;19.01
EHI00363;-4.89
EHI00365;-7.39999999999999
EHI00367;26.03
EHI00368;-13.37
EHI00371;-0.960000000000008
EHI00374;-8.69
EHI00375;-7.86999999999999
EHI00376;-8.79000000000001
EHI00377;-14.66
EHI00380;-13.23
EHI00381;-11.34
EHI00382;-11.67
EHI00383;-19.84
EHI00385;-14.52
EHI00387;-9.09
EHI00389;-8.8
EHI00391;-15.01
EHI00392;-13.74
EHI00393;-22.74
EHI00394;-17.4
EHI00398;-15.97
EHI00399;-13.87
EHI00400;-15.14
EHI00402;-19.15
EHI00404;-11.27
EHI00405;-13.93
EHI00406;-16.26
EHI00408;-12.7
EHI00410;-11.98
EHI00411;-8.97
EHI00413;-11.47
EHI00414;-15.47
EHI00416;-10.27
EHI00417;-17.58
EHI00418;-10.26
EHI00420;6.83999999999999
EHI01453;-4.26000000000001
EHI01454;-13.72
EHI01455;-6.56
EHI01456;-7.54000000000001
EHI01457;-9.30000000000001
EHI01458;-4.92999999999999
EHI01459;-10.47
EHI01460;-5.37
EHI01461;-9.67
EHI01462;-5.30000000000001
EHI01463;-5.03
EHI01464;-6.67
EHI01465;-9.77
EHI01467;-5.47
EHI01468;-14.22
EHI01469;-10.23
EHI01470;-8.62
EHI01471;-9.89
EHI01472;-2.04000000000001
EHI01473;-10.61
EHI01474;-15
EHI01475;-10
EHI01476;-11.38
EHI01478;3.94000000000001
EHI01480;-7.97000000000001
EHI01482;-8.11
EHI01483;27.05
EHI01484;-15.76
EHI01485;-10.19
EHI01486;-10.07
EHI01487;-6.22
EHI01491;-10.01
EHI01492;8.99
EHI01493;2.47
EHI01494;-9.46000000000001
EHI01495;-13.69
EHI01496;-11.22
EHI01497;-11.05
EHI01498;-2.25999999999999
EHI01499;-9.02
EHI01500;-10.17
EHI01501;2.89
EHI01502;-7.12
EHI01503;-7.79000000000001
EHI01504;-17.99
EHI01505;-8.82000000000001
EHI01506;9.09
EHI01507;-12.42
EHI01508;-11.96
EHI01510;-6.79000000000001
EHI01511;-1.45
EHI01512;-8.27
EHI01513;-12.27
EHI01514;-8.61
EHI01515;-10.51
EHI01516;-13.05
EHI01517;-8.48
EHI01518;-1.08
EHI01519;-3.90000000000001
EHI01520;-8.39999999999999
EHI01521;-10.99
EHI01522;21.82
EHI01523;-12.05
EHI01524;13.03
EHI01525;-2.21000000000001
EHI01526;-7.43000000000001
EHI01527;-18.75
EHI01528;-15.96
EHI01529;-10.7
EHI01530;1.11
EHI01549;-7.16
EHI01550;-0.559999999999995
EHI01551;-11.75
EHI01552;-11.49
EHI01553;-15.64
EHI01554;-10.91
EHI01556;-9.99000000000001
EHI01557;-6.64
EHI01558;-7.73999999999999
EHI01559;7.83
EHI01728;-12.37
EHI01770;-2.15000000000001
EHI01771;-0.65
EHI01831;-3.52
EHI01996;0.790000000000006
EHI01997;-4.06999999999999
EHI01998;-0.209999999999994
EHI01999;3.76000000000001
EHI02000;-17.07
EHI02001;-16.93
EHI02002;-16.12
EHI02003;-14.38
EHI02004;-13.79
EHI02005;2.12
EHI02006;-13.11
EHI02007;-7.96000000000001
EHI02008;-14.13
EHI02009;-9.22999999999999
EHI02011;-8.56999999999999
EHI02012;-18.38
EHI02013;-15.61
EHI02014;-12.53
EHI02015;-15.44
EHI02016;2.78
EHI02017;-14.83
EHI02018;-14.68
EHI02019;-17.26
EHI02020;-16.44
EHI02021;0.370000000000005
EHI02022;-10.6
EHI02023;-17.97
EHI02024;-13.49
EHI02025;-12.93
EHI02026;-19.31
EHI02027;-17.99
EHI02028;-14.48
EHI02029;-13.7
EHI02030;-12.71
EHI02031;-19.97
EHI02032;-15.38
EHI02033;-5.75
EHI02034;-17.46
EHI02035;-8.07000000000001
EHI02036;-13.61
EHI02037;-8.56999999999999
EHI02038;-18.08
EHI02039;-9.45999999999999
EHI02068;-10.61
EHI02078;-12.21
EHI02235;-12.03
EHI02240;0.569999999999993
EHI02241;-5.12
EHI02242;-12.83
EHI02255;-5.29000000000001
EHI02256;-10.49
EHI02263;56.83
EHI02273;-8.73
EHI02274;3.28
EHI02291;15.85
EHI02292;-0.140000000000001
EHI02297;4.77000000000001
EHI02300;-12.4
EHI02301;-11.92
EHI02302;-5.77999999999999
EHI02303;0.799999999999997
EHI02304;-14.84
EHI02305;0.340000000000003
EHI02306;-4.94999999999999
