Genome	EHI00404	EHI00389	EHI01557	EHI01559	EHI01459	EHI00144	EHI00413	EHI01554	EHI01513	EHI00405	EHI01556	EHI00408	EHI01470	EHI01486	EHI01468	EHI01524	EHI00380	EHI00142	EHI00410	EHI01498	EHI00418	EHI01480	EHI00393	EHI01552	EHI01453	EHI01471	EHI01523	EHI01464	EHI01454	EHI00394	EHI01455	EHI00387	EHI00374	EHI01500	EHI01506	EHI01467	EHI01499	EHI01458	EHI01487	EHI00402	EHI01478	EHI01517	EHI01525	EHI00414	EHI00367	EHI01501	EHI00377	EHI00382	EHI00361	EHI00385	EHI01493	EHI01462	EHI00399	EHI00420	EHI01474	EHI01484	EHI00375	EHI01530	EHI01549	EHI01475	EHI01497	EHI01456	EHI01472	EHI01505	EHI01551	EHI01518	EHI00368	EHI01553	EHI01516	EHI01504	EHI00411	EHI00363	EHI01483	EHI01457	EHI01469	EHI01521	EHI00371	EHI01485	EHI01529	EHI01550	EHI00383	EHI01494	EHI01463	EHI00406	EHI01558	EHI01511	EHI01482	EHI01515	EHI00276	EHI00400	EHI01460	EHI00161	EHI01507	EHI00392	EHI00398	EHI01476	EHI01520	EHI00391	EHI01503	EHI01526	EHI00365	EHI00381	EHI01473	EHI00416	EHI01477	EHI01495	EHI01491	EHI01514	EHI00417	EHI01527	EHI01465	EHI01528	EHI01512	EHI00376	EHI01492	EHI01510	EHI00169	EHI01519	EHI01522	EHI01502	EHI01508	EHI01496	EHI01461
EHA02404_bin.26	168839	20	2538	630	79326	36252	28	192	18966	371	164863	138345	37	0	12820	3	66944	16339	96	2	486	9862996	16106	166	391600	23699	47432	360653	5	9	263006	158387	12	5	449	1921104	2784	175	5	11666	19	183	13	152818	3	5	113128	795672	11	201623	1	116	143310	1	11	52	53590	16	20587	1258188	189767	253791	37	88216	31103	1	0	17	89	480	1345	1	11	140	170377	7	1	129	2796	178897	104	167205	93033	553341	46	1	199523	69	30865	28	42	397197	6046	106664	70276	10	388	97	30384	2212	84	214	55002	548610	185769	24	2456	35380	402973	74483	45725	24	53	176717	1	70601	288174	12	116	13735	21555	161	14
EHA02404_bin.2	2306	553	8054	1556	66284	39531	248	496	4878	26833	7344	3899	264	90	15109	0	8676	4797	680	61	573	9249	28539	908	2242229	9216	7646	9370	586	214	5531	11058	593	338	695	249010	10164	2986	420	11495	2	1799	8	667803	0	80	3739	13299	1	4197	4	1111	211082	0	813	61	9097	216	22551	6852	3766	1874	352	3959	2811	0	4	673	458	540	164	6	171	104	11910	96	0	211	3560	234458	912	38548	210445	238034	647	101	4479	294	4126	864	1323	697982	3665	483152	217544	1526	283	279	14847	6627	619	182	3583	119365	10988	2236	3335	4876	3209	3373	97612	16	26813	54108	2	23209	110371	10380	3	6657	3840	669	729
EHA02404_bin.33	20263	737	5668	246	7838	4159	166	599	8182	4793	14855	99892	1842	362	2340	2	3216	4871	3544	22	802	23670	47439	909	481011	10539	7117	16632	959	3696	43708	7461	518	620	1014	46490	4986	5138	279	7845	36	1180	3	114620	10	12	5591	41447	147	47757	382	10649	7806	0	709	304	1831	421	16921	7590	35015	6411	2380	11543	40199	18	2	1123	952	164	1209	18	496	257	9564	279	54	254	8408	45119	1339	9985	33418	149662	2602	150	21856	3869	3711	1030	3134	10215	6681	148860	54812	1643	2836	624	8025	6086	1535	2053	4317	15450	122222	1078	9102	25898	20248	6699	28058	181	5242	5444	2	19030	18848	1461	11	7606	6053	1226	85
EHA02405_bin.1	372	1490	2470	135	3835	853	166	60	1387	130	1138	67412	134	5	658	0	626	2765	96	0	73	9423	165350	437	1111	2423	1447	3101	1777	1594	409641	77544	9291	40	271	7143	941	1167	390	73834	2	461	0	662	0	14	1083	14147	1	379225	6	386	99485	0	525	27	48766	195	1290	1864	908	1417	220	40927	1623	0	0	141	45	446	714	0	3	219	1356	501	22	89	930	121419	432	1665	1261	7084	390	58	1550	82	777	12	191	162130	1320	23981	1211	226	140	83	3234	3546	1073	171	707	6291	215240	253	1859	2571	6934	1472	13900	55	3290	1396	0	1717	144815	6310	13	1619	2224	86	662
EHA02405_bin.24	11237	235	1327	64	6288	23188	7	15	830	61	4253	6116	22	0	382	0	542	2156	582	0	30	39677	2698	63	8161	28120	4060	2353	5	13	92417	580	12	416	5	44109	267	99	1	11917	0	17	0	5565	3	0	2184	14866	5	4172	22	45	3679	0	16	0	340	3	14130	10527	2042	3078	106	2732	17184	0	0	28	14	5	70	8	19	5	1899	1	0	1	563	233	30	22873	9440	637	26	0	6353	33	597	50	113	12665	587	5642	3528	4	280	21	292	685	11	360	1134	2683	12572	101	417	2585	1887	679	6056	4	626	493	0	20393	4716	49	0	545	1339	7	7
EHA02405_bin.26	331831	80	1938	120	1362	1214	24	15	1167	113	1800	854	38	4	18359	0	1062	1317	104	0	77	3318	626	84	2055	1318	125753	4268	84	39	585165	1288	29	17	330	8397	1075	450	62	5904	0	127	0	10816	0	0	1078	2237	1	7086	2	307	474	0	89	7	816	91	6045	1394	878	498	56	8151	1687	0	0	139	36	27	72	0	19	24	1610	30	4	142	795	651	221	14486	1030	765	89	5	58200	81	1427	30	91	6553	1979	4878	7755	279	37	155	3138	1680	162	48	16149	385	2009	146	1238	779	3960	283	1512	2	411	1343	6	1229	1709481	229	0	1822	1426	42	92
EHA02405_bin.30	20744	14690	1038	13503	30730	38795	23316	4014	6186	2948	73844	25888	111642	21	43934	4	2437	11781	11447	8	22	14623	5316	34420	71077	4791	76638	751	153	8485	42220	10469	4004	23663	0	283230	9344	111	149257	22998	0	631	12	26426	18	0	733	30181	17	36226	0	37	23855	0	1506	51	659	27662	8251	527	2740	294	24	14552	215	0	2	12	47960	59565	17959	8	1060	171867	358	19924	36	3257	5948	14096	418	32239	97715	26372	783	2	26610	178	5014	740	59	22156	7862	10032	38053	82	11876	9255	24801	12119	46681	38831	22470	15450	34505	22	4340	5851	34131	26919	39779	48057	177824	17662	0	10137	45132	9873	274	4672	22253	177	7
EHA02405_bin.36	41043	390	13645	128	18435	6189	404	292	163467	471	42791	30746	1144	0	20587	0	7477	61713	565	0	46	38069	9344	227	17163	16567	46644	9368	17	821	46276	130539	99	189	1	178629	52281	202	1920	21708	0	89	2	11957	0	1	1517	33867	0	12079	2	40	13315	0	474	15	18366	327	34677	7398	29892	4376	14	20337	706	0	0	1	645	995	242	0	60	2449	4136	473	0	143	89820	1193	38	35933	36193	8397	190	1	23637	38	4884	14	13	46177	12214	6638	16144	0	326	72	67557	15323	772	743	50848	32304	46438	0	33321	23134	21372	88086	20526	505	3197	20663	0	75566	58595	155	31	18172	5162	16	113
EHA02405_bin.39	8315	2752	28774	6512	19185	14313	624	497	36209	2005	49084	14505	2513	55	22797	0	14713	14797	4220	0	2687	234275	14973	1752	30547	120767	76442	78198	457	1941	67073	83250	10110	326	634	60908	59659	7110	759	14760	0	1244	28	14013	2	0	25545	68167	0	21614	44	4453	24645	4	2414	384	12401	3257	165079	67480	13872	8845	458	20645	30391	0	6	1163	1008	303	2802	4	1267	800	77696	1907	8	640	12253	7321	3490	47282	10509	14593	3361	563	19577	2286	15386	1119	1836	6231	24241	9629	11242	5611	1420	5973	51579	32298	4119	1728	11316	11204	44749	3713	20002	26178	29481	15940	16786	82	22573	12293	0	51656	9108	37139	9	12420	27147	2118	5049
EHA02405_bin.43	7590	155	7011	19	11072	18487	79	197	41714	1070	28490	39211	424	8	7800	0	4107	665	4041	0	122	4093	1987	120	16240	40124	31131	43262	229	884	59475	14260	980	96	139	6148	9450	436	45	11124	0	311	0	6015	0	0	2879	85461	2	49866	0	3426	1325	2	87	56	4088	109	52868	46262	7095	7200	551	15267	39431	0	0	337	92	76	228	4	82	80	29217	180	0	104	9739	2838	377	24694	15346	5485	414	21	12271	442	5376	190	236	18091	13692	6408	5464	109	752	195	10828	12746	204	476	74940	2935	55930	86	15776	13731	27381	5521	10057	46	4015	5512	2	2676	10292	277	6	13707	10237	531	112
