Genome	EHI00404	EHI00389	EHI01557	EHI01559	EHI01459	EHI00144	EHI00413	EHI01554	EHI01513	EHI00405	EHI01556	EHI00408	EHI01470	EHI01486	EHI01468	EHI01524	EHI00380	EHI00142	EHI00410	EHI01498	EHI00418	EHI01480	EHI00393	EHI01552	EHI01453	EHI01471	EHI01523	EHI01464	EHI01454	EHI00394	EHI01455	EHI00387	EHI00374	EHI01500	EHI01506	EHI01467	EHI01499	EHI01458	EHI01487	EHI00402	EHI01478	EHI01517	EHI01525	EHI00414	EHI00367	EHI01501	EHI00377	EHI00382	EHI00361	EHI00385	EHI01493	EHI01462	EHI00399	EHI00420	EHI01474	EHI01484	EHI00375	EHI01530	EHI01549	EHI01475	EHI01497	EHI01456	EHI01472	EHI01505	EHI01551	EHI01518	EHI00368	EHI01553	EHI01516	EHI01504	EHI00411	EHI00363	EHI01483	EHI01457	EHI01469	EHI01521	EHI00371	EHI01485	EHI01529	EHI01550	EHI00383	EHI01494	EHI01463	EHI00406	EHI01558	EHI01511	EHI01482	EHI01515	EHI00276	EHI00400	EHI01460	EHI00161	EHI01507	EHI00392	EHI00398	EHI01476	EHI01520	EHI00391	EHI01503	EHI01526	EHI00365	EHI00381	EHI01473	EHI00416	EHI01477	EHI01495	EHI01491	EHI01514	EHI00417	EHI01527	EHI01465	EHI01528	EHI01512	EHI00376	EHI01492	EHI01510	EHI00169	EHI01519	EHI01522	EHI01502	EHI01508	EHI01496	EHI01461
EHA02404_bin.26	0.9365008	0.000882189	0.080568634	0.0029073257	0.9557696	0.7470313	0.001271087	0.0034387002	0.546653	0.006246113	0.96922064	0.9848832	0.0009144478	0	0.42162946	0.0002016176	0.88109535	0.3370679	0.0036452461	0.00013441173	0.009041877	0.99834627	0.44276837	0.0016832829	0.99978137	0.6289627	0.8309253	0.99655277	0.0002715117	0.00035215874	0.9379403	0.93228114	0.0004063715	8.512743e-05	0.010083568	0.99750173	0.10133256	0.0018463691	0.0002016176	0.361594	0.0007415047	0.00621251	0.0007518096	0.99628216	0.00010573723	0.00021461073	0.97191286	0.9981182	0.0004843303	0.93574315	6.720587e-05	0.0033486444	0.9284943	6.720587e-05	0.00032438032	0.0025605436	0.83656114	0.0006173979	0.48638678	0.99737227	0.9397186	0.99529916	0.001385337	0.95965093	0.5722324	6.720587e-05	0	0.00021909113	0.0036264285	0.01809854	0.005018934	6.720587e-05	0.00031676365	0.0013373968	0.9919335	0.00031541954	6.541371e-05	0.0019077505	0.016490528	0.9774224	0.0034669267	0.9920155	0.9612876	0.9972602	0.0007549459	6.720587e-05	0.9945653	0.0028558013	0.71327424	0.0008432096	0.0017513849	0.9989561	0.18447965	0.9587177	0.8855408	0.0004995636	0.0031447865	0.0027989002	0.6193271	0.04804861	0.0021142967	0.002932864	0.8453884	0.99657965	0.98991734	0.00087994884	0.0913135	0.75394946	0.9512242	0.8657563	0.83171606	0.0006339753	0.0021044398	0.932916	6.720587e-05	0.9191088	0.995352	0.00042474107	0.004252787	0.42279166	0.5558028	0.0027294543	0.0007311998
EHA02404_bin.2	0.027848732	0.0054350384	0.019720478	0.019272292	0.8574934	0.67632484	0.0015124682	0.010099639	0.021636944	0.23145182	0.02532532	0.0892432	0.003668493	0.0009074178	0.34709853	0	0.042230435	0.01746503	0.009457345	0.00032887977	0.004668073	0.023994653	0.5603038	0.017054405	0.99952877	0.021851568	0.039949425	0.04114974	0.004410524	0.0023220428	0.028010014	0.0444701	0.0062196786	0.0041135224	0.008152558	0.5209194	0.047778152	0.012376232	0.0043095243	0.22673672	7.164655e-05	0.006094376	0.00011299324	0.9862183	0	0.001126145	0.016688282	0.036879987	4.734354e-05	0.026829267	0.0001297213	0.008184751	0.92673874	0	0.008807161	0.0014597591	0.04290871	0.0035072092	0.028237265	0.022036523	0.020173082	0.010686384	0.0045885355	0.021977501	0.016685441	0	3.3140477e-05	0.0071233087	0.0027759094	0.0017311954	0.0036044214	9.62652e-05	0.0024757513	0.0021992652	0.029423378	0.0024719639	0	0.0040664943	0.020260826	0.95592445	0.0049846433	0.62011325	0.9738963	0.9287893	0.0039137327	0.0016579707	0.091182075	0.004672176	0.02319865	0.0035826433	0.005569178	0.9871159	0.017669871	0.9354768	0.98174876	0.0060937447	0.004300687	0.0052141016	0.022966666	0.015790649	0.006098479	0.0033894817	0.037238847	0.92022425	0.2148557	0.0060116826	0.022004645	0.017020317	0.024571927	0.014572972	0.8933268	0.00029226745	0.20996481	0.036464624	5.8390364e-05	0.19132407	0.91050684	0.1352264	9.815893e-05	0.03732028	0.02114962	0.0045733857	0.00307733
EHA02404_bin.33	0.49058142	0.023569262	0.0843916	0.0034242126	0.25176686	0.098129235	0.0057339272	0.016126802	0.1289875	0.09707905	0.17252272	0.8659109	0.040287994	0.007012384	0.05276945	5.086921e-05	0.07282453	0.12890847	0.08062392	6.9787515e-05	0.018258264	0.20149463	0.80166686	0.013776308	0.9975154	0.13184543	0.13858077	0.12995906	0.0265037	0.08889037	0.56789297	0.121959984	0.01161836	0.014898794	0.025342958	0.58789545	0.09203628	0.059960507	0.008679297	0.18566799	0.00018413815	0.024951559	9.37507e-05	0.97136444	0.0003199295	0.0003258152	0.071742825	0.65261036	0.00015218723	0.8271855	0.0016849901	0.11187022	0.16929148	0	0.016400065	0.008469094	0.041558884	0.011343834	0.15275057	0.08392915	0.27359563	0.096773	0.07210437	0.26450604	0.4307323	8.1979306e-05	6.390182e-05	0.025942877	0.020464558	0.0060311547	0.039655704	0.00022870125	0.010580376	0.010038892	0.110872604	0.009931268	0.0005431655	0.0077607078	0.11829068	0.6801062	0.029755546	0.20048608	0.52993315	0.9658058	0.028433368	0.0045593106	0.40582785	0.04599838	0.06897277	0.023351911	0.036555205	0.15470505	0.0992492	0.96617365	0.8598974	0.0071750814	0.07486308	0.015558411	0.09086545	0.0896841	0.03625798	0.045303866	0.06515631	0.45213145	0.89705753	0.02485991	0.12155219	0.101814516	0.5071202	0.09512206	0.35525376	0.005441324	0.08194357	0.08696239	5.8016125e-05	0.15979701	0.37942547	0.034394313	0.00043385974	0.12454465	0.112106495	0.025523312	0.0030786383
EHA02405_bin.1	0.007893607	0.032409742	0.010536004	0.0021794671	0.14274766	0.01069414	0.002653449	0.0010406349	0.01045396	0.002754622	0.010746001	0.94001895	0.0022028473	0.00016111137	0.01756454	0	0.007392419	0.033365782	0.002245782	0	0.0020574646	0.014227962	0.9968858	0.0027971314	0.016891189	0.012706543	0.013474692	0.015228213	0.0013433032	0.02518056	0.9997394	0.89973134	0.09792553	0.00095476554	0.0023490803	0.016901815	0.009349136	0.004442678	0.003597162	0.9450568	0.00011902687	0.003247308	0	0.01012196	0	0.000380886	0.009608019	0.3931428	6.33393e-05	0.9983323	0.00032094747	0.0018755234	0.9829906	0	0.004199948	0.0009377617	0.8326584	0.0015779563	0.010877356	0.013706794	0.010819542	0.007756726	0.0032698382	0.7973457	0.009964249	0	0	0.0024859612	0.0014827347	0.0066727316	0.018208561	0	0.00012880408	0.0027482454	0.013905314	0.01381987	0.00086507027	0.0029170085	0.008919364	0.9692167	0.0033021455	0.0148367	0.023137974	0.13609362	0.002450253	0.0012144991	0.022460371	0.002174791	0.008791835	0.0005696286	0.002267887	0.9948253	0.010595092	0.22885424	0.039279718	0.0020515132	0.0027490957	0.0020872212	0.011233586	0.012175598	0.021338968	0.0037535974	0.00980909	0.24276763	0.99825794	0.0023818128	0.0128910355	0.010935593	0.2380142	0.0334508	0.4231469	0.0012952674	0.04600984	0.0116268	0	0.011798538	0.9946179	0.07547111	0.00046633027	0.010393596	0.050550286	0.0015290702	0.0026883068
EHA02405_bin.24	0.34479392	0.005225238	0.031051002	0.0011938344	0.26187503	0.6288695	0.00025469778	0.00076950196	0.033727296	0.0018192698	0.14792384	0.22169966	0.00094995386	0	0.015653588	0	0.017041149	0.026736382	0.025338003	0	0.0007552428	0.6291753	0.05024528	0.0009838808	0.3350274	0.6802358	0.14538915	0.09732995	0.00024633895	0.0005349637	0.97937787	0.021097139	0.00027387385	0.008266369	0.00025420607	0.7558525	0.008682834	0.0023316154	7.129571e-05	0.38768885	0	0.00039188055	0	0.24139301	9.391366e-05	0	0.08542799	0.44497275	0.0001612758	0.18786272	0.0007896614	0.001728798	0.1583935	0	0.0004140068	0	0.012496416	0.0001716014	0.35866165	0.29916564	0.07068994	0.13238187	0.0053383275	0.11603106	0.3460738	0	0	0.0006328109	0.00020946187	0.0003151762	0.0032879615	0.00022716288	0.0007232827	0.00034516957	0.07677024	7.375418e-05	0	7.375418e-05	0.022690227	0.0069432184	0.0005428308	0.6168357	0.36646536	0.024032554	0.0003672958	0	0.2656016	0.0010123991	0.015917627	0.0009838808	0.002561237	0.40833363	0.0208921	0.24399604	0.14523181	0.00015783394	0.0060168663	0.00066280423	0.004740919	0.023212407	0.0004779271	0.007657651	0.04270662	0.12478175	0.35539386	0.0030494896	0.014775421	0.09082631	0.08164047	0.026427599	0.24789469	9.391366e-05	0.009945505	0.0060286666	0	0.51671493	0.19455321	0.0008196548	0	0.018913522	0.05711524	0.0002433888	0.00022126254
EHA02405_bin.26	0.99865335	0.0017857712	0.007091423	0.001217493	0.043718673	0.038224887	0.0009191469	0.000500257	0.014376147	0.0017013905	0.0079451315	0.010071009	0.0012295473	0.00016746986	0.51949024	0	0.006074119	0.011403019	0.0031599712	0	0.0022106883	0.012326901	0.0064391945	0.0012123268	0.0534513	0.0070044594	0.9920979	0.0763034	0.0019502274	0.0010422738	0.9998635	0.006458998	0.000985446	0.00055148813	0.0020918665	0.18462239	0.00732347	0.00572325	0.0015580293	0.19339368	0	0.0024956884	0	0.35443425	0	0	0.0075938324	0.012642899	6.156347e-05	0.21090999	0.00012915414	0.0036490348	0.010210065	0	0.0023015267	0.00040037782	0.0062075783	0.002185288	0.11471858	0.011592445	0.007760011	0.006290667	0.0018507787	0.24348697	0.011124907	0	0	0.0018481957	0.00071852753	0.0007426363	0.0021331958	0	0.00057387486	0.00088987197	0.015061094	0.00091398077	0.00012915414	0.0017745778	0.010353857	0.006167971	0.002980447	0.40316713	0.01672417	0.012637301	0.0016544645	0.00015584599	0.9051014	0.002406572	0.00757489	0.0010676741	0.00217022	0.19167206	0.007573168	0.1779589	0.27612293	0.0022709602	0.0014155293	0.0029240495	0.0078753885	0.008056635	0.0019941397	0.0018757485	0.47662267	0.008008848	0.022140032	0.0022705297	0.008093229	0.009221605	0.1077421	0.0038952888	0.038783696	6.457707e-05	0.0052819736	0.007161166	0.0001778022	0.010920413	0.9986615	0.0028362249	0	0.007454346	0.007899067	0.0018004086	0.0015640566
EHA02405_bin.30	0.47530055	0.3531865	0.03417982	0.035663635	0.37679878	0.62711835	0.4097624	0.0632133	0.1631931	0.04937385	0.7764069	0.647939	0.43938807	0.0005256282	0.8329732	0.00014466832	0.034914736	0.30060485	0.31583747	0.00023098709	0.0010806724	0.09028943	0.17516199	0.37453762	0.4106608	0.1634212	0.93277794	0.003299402	0.0014191963	0.18475784	0.8799417	0.290263	0.117972195	0.39717048	0	0.625609	0.3433389	0.00135072	0.51478195	0.47313243	0	0.004266751	0.0006215916	0.38086346	0.000893568	0	0.002420301	0.45476535	0.0009596332	0.48044398	0	0.0007913357	0.6211402	0	0.0025148178	0.0015995494	0.008110588	0.41754702	0.22507304	0.0027800428	0.047844224	0.013367835	0.00075854425	0.34713212	0.0027096376	0	7.47453e-05	0.00036456416	0.4579823	0.4744388	0.36943322	0.0003076613	0.003529907	0.5191495	0.0030105477	0.3954089	0.001463079	0.12641793	0.030998563	0.2836507	0.00350676	0.6799194	0.73296833	0.6488326	0.0024718994	0.00014466832	0.56673574	0.004196828	0.17281403	0.0047533186	0.0013695267	0.3841759	0.23003517	0.3680285	0.55465543	0.0015706157	0.31552547	0.15973648	0.57021695	0.30448246	0.46599403	0.45460188	0.6498906	0.48890176	0.73094827	0.00072382385	0.11753674	0.030986026	0.7031425	0.49672928	0.8030355	0.45665762	0.5065397	0.4139366	0	0.031383865	0.7726354	0.29273105	0.014123486	0.1791018	0.56801796	0.0020923861	0.00021169797
EHA02405_bin.36	0.48308212	0.0074277516	0.41017696	0.0013824316	0.39551547	0.071420096	0.007046841	0.0032187516	0.53095996	0.0041864538	0.69479054	0.7794256	0.006932331	0	0.6816337	0	0.28722003	0.43168178	0.0106417565	0	0.0009309164	0.47856933	0.32351866	0.004925135	0.32776386	0.4147348	0.63515437	0.04015934	0.0003079322	0.006366305	0.9371599	0.7541455	0.0036957797	0.0055303196	8.8997745e-05	0.9314664	0.8550974	0.0027992756	0.008401387	0.44819975	0	0.0019917695	0.00012815675	0.35235393	0	8.8997745e-05	0.016210642	0.7408398	0	0.39229196	0.00013349661	0.0010246607	0.4478497	0	0.0009445627	0.00053932634	0.48637682	0.007399866	0.48322275	0.037781917	0.47143826	0.20709834	0.0010080477	0.46729332	0.0090605635	0	0	8.8997745e-05	0.0069596237	0.019219952	0.0071388055	0	0.003536177	0.009967747	0.037014756	0.008082182	0	0.0038998812	0.5059534	0.031887893	0.0011124718	0.82141536	0.5916232	0.35196292	0.0010270339	8.8997745e-05	0.43624735	0.0015343211	0.24106522	0.001066193	0.00045982166	0.6110947	0.43473023	0.27784917	0.46530867	0	0.006867066	0.002033895	0.71339995	0.27640802	0.010815599	0.009103876	0.537741	0.6179475	0.8722022	0	0.5330935	0.45587966	0.47752866	0.4729779	0.56016606	0.0069483505	0.01065303	0.4527256	0	0.5061818	0.5621851	0.0051452564	0.001987023	0.39385298	0.2505239	0.0006336639	0.001064413
EHA02405_bin.39	0.1708799	0.049246732	0.21783845	0.07225918	0.23643754	0.2228095	0.009685073	0.0126989735	0.30961	0.03125399	0.33223692	0.2857899	0.013775694	0.0020673522	0.33022863	0	0.22258408	0.2050089	0.10435491	0	0.04182531	0.3825633	0.24494277	0.017764423	0.33470395	0.4066699	0.55328846	0.38600388	0.008443664	0.014071386	0.93117934	0.24335451	0.15073122	0.00759152	0.0061454964	0.22261278	0.3305185	0.0435009	0.014282239	0.31076825	0	0.017073227	0.00063089386	0.18031129	9.149416e-05	0	0.19889833	0.43515912	0	0.29272267	0.001593662	0.04462919	0.20456348	0.0002170907	0.0187143	0.006515632	0.22993772	0.09370832	0.3366324	0.36257806	0.24745552	0.14316341	0.012031898	0.37572744	0.33989125	0	0.00010272299	0.016803734	0.008865369	0.005997858	0.048152547	0.00010646594	0.008900719	0.014436947	0.36569425	0.064406484	0.0002462025	0.018556679	0.2155461	0.11537954	0.039570395	0.53882074	0.17430511	0.23664424	0.022504652	0.0047851447	0.37737018	0.03459727	0.21660827	0.014206132	0.02523201	0.13596697	0.2727445	0.15579958	0.26150694	0.018075919	0.02169285	0.12091619	0.22374938	0.27217516	0.0641948	0.024276728	0.2336241	0.2393088	0.43598714	0.047407284	0.260958	0.2030193	0.45094353	0.22968736	0.2022046	0.0026678867	0.22206216	0.15750886	0	0.24493486	0.17977189	0.16443165	0.00042004138	0.16338778	0.325473	0.027943565	0.029670725
EHA02405_bin.43	0.38435593	0.012408704	0.12442068	0.000673604	0.3841322	0.42948267	0.0072048753	0.011768306	0.4474581	0.050793067	0.310605	0.6491171	0.020276114	0.0008538643	0.23664849	0	0.16843264	0.027835185	0.19763559	0	0.006677535	0.11241044	0.11007971	0.004713647	0.43795094	0.46216115	0.48777315	0.4901434	0.01408797	0.03890538	0.96406573	0.25223705	0.066874966	0.006673582	0.0114907995	0.109096974	0.21375544	0.024038652	0.0031245109	0.39186993	0	0.01440896	0	0.29867065	0	0	0.09007478	0.6810137	0.000188957	0.5254254	0	0.079184845	0.06959468	9.882689e-05	0.0061628446	0.0036700352	0.12366801	0.00737802	0.47031873	0.41605487	0.15321329	0.26143745	0.037589002	0.5191163	0.68588865	0	0	0.016673282	0.006071133	0.00458873	0.01654204	0.00018263208	0.006430863	0.006090108	0.46118632	0.013932219	0	0.0074981935	0.3605023	0.13425118	0.015256499	0.4993011	0.45318452	0.23114106	0.012926556	0.0012634029	0.40118024	0.022531739	0.15624136	0.011919313	0.01198019	0.43011755	0.19883654	0.28963947	0.28529423	0.0045713363	0.035260644	0.012238721	0.15213332	0.18118289	0.015050149	0.024112178	0.47872138	0.17553394	0.7843194	0.00604109	0.24182306	0.22613172	0.47184145	0.24090911	0.32442257	0.0031047454	0.17452195	0.14489128	7.115536e-05	0.09557983	0.46205443	0.01762281	0.0005613367	0.21033998	0.19246654	0.019697385	0.008854099
