sample;sample_code;species;region;sample_type;order;sex;country;latitude;longitude;singlem_fraction;reads_post_fastp;host_reads;reads_lost_fastp_percent;metagenomic_bases;host_bases;bases_lost_fastp_percent;diversity;C;animal;macroarea;area_type;season
EHI01511;ACG52E1L1I1;Sciurus vulgaris;Lombardy;Faecal;Rodentia;Male;Italy;45.77931;8.91102;0.0987;30261596;2152492;0.080400987;4130432723;320144562;0.098362938;19.80645211;0.674137162;5767R;PIN;seminat;spring-sum
EHI00376;ADW20E1L1I1;Sciurus carolinensis;Piedmont;Faecal;Rodentia;Male;Italy;45.02208;7.67199;0.7249;27391026;628440;0.135381933;3946710019;94250200;0.149627275;19.15112587;0.834838898;5786G;ILO;urban;autumn
EHI01464;ABA79E1L1I1;Sciurus carolinensis;Lombardy, AddaNord;Faecal;Rodentia;Female;Italy;45.5646;9.52615;0.7494;66491144;770291;0.033741335;9766932496;114736867;0.042654598;19.1719059;0.919823801;5933G;AN;seminat;spring-sum
EHI01483;ADV66E1L1I1;Sciurus vulgaris;Lombardy;Faecal;Rodentia;Female;Italy;45.82415;8.80865;0.6294;37878748;7381218;0.041249697;4520936787;1099011941;0.051688553;20.08923456;0.638330841;5797R;VAS;seminat;autumn
EHI01486;AEM06E1L1I1;Sciurus vulgaris;Lombardy;Faecal;Rodentia;Female;Italy;45.82415;8.80865;0.7568;27666202;4050582;0.02426221;3506858483;609211455;0.032223509;16.92090227;0.962096314;5797R;VAS;seminat;winter
EHI00371;AEL21E1L1I1;Sciurus vulgaris;Lombardy;Faecal;Rodentia;Female;Italy;45.82608;8.83262;0.8833;24747114;670726;0.023188769;3546261854;97834132;0.041075016;15.5736661;0.991696547;4322R;VAU;urban;autumn
EHI01502;AAV31E1L1I1;Sciurus carolinensis;Piedmont, RS;Faecal;Rodentia;Female;Italy;44.95013;7.59509;0.7619;26860592;165538;0.07826048;3965215698;24941583;0.087166891;18.904628;0.865829959;5642G;RS;seminat;winter
EHI01498;AEL49E1L1I1;Sciurus vulgaris;Lombardy;Faecal;Rodentia;Female;Italy;45.84452;8.81368;0.8859;34304424;859104;0.026753452;4967002806;127318305;0.036464328;14.99889609;0.995785073;5791R;VAS;seminat;autumn
EHI00420;ADV29E1L1I1;Sciurus vulgaris;Lombardy;Faecal;Rodentia;Male;Italy;45.68874;8.65741;0.7721;20171316;11652;0.017090593;2936675388;1989414;0.045363466;16.68267825;0.865894819;4939R;GS;natural;autumn
EHI00405;AEL81E1L1I1;Sciurus vulgaris;Lombardy;Faecal;Rodentia;Male;Italy;45.68074;9.46024;0.7097;27784262;2478080;0.012464286;3720320594;366709076;0.031565001;18.62298858;0.893151637;5830R;CAL;natural;autumn
EHI01485;ABC11E1L1I1;Sciurus vulgaris;Lombardy, Calusco;Faecal;Rodentia;Female;Italy;45.68074;9.46024;0.6555;16720394;10280742;0.038163529;912091002;1509404618;0.071360479;18.7954777;0.705393426;5971R;CAL;natural;spring-sum
EHI01501;AAW09E1L1I1;Sciurus vulgaris;Lombardy, Pineta;Faecal;Rodentia;Male;Italy;45.77931;8.91102;0.8777;56496212;15179336;0.029482685;6115609193;2265649808;0.040153113;15.74455761;0.992858325;5767R;PIN;seminat;winter
EHI01459;AAB38E1L1I1;Sciurus carolinensis;Piedmont, commande;Faecal;Rodentia;Male;Italy;44.83877;7.76756;0.7369;10359376;198176;0.034941687;1507364232;29231598;0.045692469;18.94352756;0.749426192;5772G;COM;natural;autumn
EHI01465;AAV06E1L1I1;Sciurus carolinensis;Piedmont, Piobesi;Faecal;Rodentia;Female;Italy;44.93762;7.59363;0.728;35418064;1210793;0.023938944;5082289912;179509669;0.033292229;19.11507555;0.857691016;5607G;PIO;natural;winter
EHI01519;ABC05E1L1I1;Sciurus vulgaris;Lombardy, Calusco;Faecal;Rodentia;Female;Italy;45.68074;9.46024;0.7871;31010828;2285785;0.044321938;4254087826;322613761;0.059714819;18.26310119;0.911233271;5992R;CAL;natural;spring-sum
EHI01487;ADW06E1L1I1;Sciurus vulgaris;Lombardy;Faecal;Rodentia;Female;Italy;45.73571;8.90709;0.7927;28548872;316670;0.023491649;4207510286;46558917;0.029936197;18.26262136;0.936899575;5733R;PIN;seminat;autumn
EHI01507;ABA36E1L1I1;Sciurus carolinensis;Piedmont, RS;Faecal;Rodentia;Male;Italy;44.95013;7.59509;0.7108;37206466;6604196;0.036989085;4518333787;966484072;0.05358037;18.77849142;0.88157764;5610G;RS;seminat;spring-sum
EHI01471;AAV72E1L1I1;Sciurus carolinensis;Lombardy, AddaNord;Faecal;Rodentia;Male;Italy;45.56245;9.52385;0.7287;31557008;337484;0.038379605;4642488395;50665781;0.046586256;18.87991282;0.883353489;5939G;AN;seminat;winter
EHI00276;AAA57E1L1I1;Sciurus carolinensis;Piedmont, RS;Faecal;Rodentia;Male;Italy;44.95013;7.59509;0.7498;18754970;772424;0.066951823;2643618639;111939479;0.086084568;18.80104867;0.824056474;5646G;RS;seminat;autumn
EHI01463;AAV34E1L1I1;Sciurus carolinensis;Piedmont, Piobesi;Faecal;Rodentia;Female;Italy;44.93762;7.59363;0.7415;43996750;2520017;0.025602286;6143774948;373828587;0.037695893;19.52379032;0.841521327;5638G;PIO;natural;winter
